modelName, participant, isFiltered, Accuracy, correct, wrong, False paced, False slowBreath, False stressor, False baseline, SD paced, SD slowBreath, SD stressor, SD baseline, Predictions, Unique Predictions, Paced Samples, slowBreath Samples, Stressor Samples, Baseline Samples
models-eegLib-high/Deep,OpenBCISession_2020-02-14_11-43-46-EIGHT-2000ep-2000ep-2000ep.h5,True,0.375,84,140,0,134,2,4,0.0012915372,0.17813551,0.1421136,0.109185144,224,212,50140,50150,45208,15030
models-eegLib-high/Deep,OpenBCISession_2020-02-23_16-49-310-VIR-2000ep-2000ep-2000ep.h5,True,0.12556053811659193,28,195,17,15,0,163,0.20244619,0.14492142,0.057080936,0.2507575,223,223,50077,50143,45042,15031
models-eegLib-high/Deep,OpenBCISession_2020-02-23_18-14-52-ISH-2000ep-2000ep-2000ep.h5,True,0.25,56,168,78,9,80,1,0.29646617,0.15167868,0.32313347,0.03792529,224,224,50149,50129,45137,15029
models-eegLib-high/Deep,OpenBCISession_2020-02-29_17-19-28-ELI-2000ep-2000ep-2000ep.h5,True,0.18834080717488788,42,181,176,5,0,0,0.04359241,0.13077727,0.04359241,0.04359241,223,2,50091,50144,45121,15031
models-eegLib-high/Deep,OpenBCISession_2020-02-29_17-51-57-BAHAR-2000ep-2000ep-2000ep.h5,True,0.26126126126126126,58,164,1,53,4,106,0.08784249,0.23516521,0.1256174,0.25209993,222,218,50125,50154,45095,15030
models-eegLib-high/Deep,OpenBCISession_2020-03-06_10-28-17-LUKE-2000ep-2000ep-2000ep.h5,True,0.22972972972972974,51,171,36,45,1,89,0.16883,0.2114947,0.0714153,0.22570173,222,217,50024,50136,45087,15030
models-eegLib-high/Shallow,OpenBCISession_2020-02-06_11-26-48-TWO-2000ep-2000ep.h5,True,0.11261261261261261,25,197,5,0,0,192,0.16216226,0.0027187997,1.8737623e-08,0.1597748,222,8,50174,50139,45091,15088
models-eegLib-high/Shallow,OpenBCISession_2020-02-06_12-08-05-THREE-2000ep-2000ep.h5,True,0.36771300448430494,82,141,0,141,0,0,0.0017124204,0.031259622,0.009570644,0.024288937,223,223,50141,50139,45149,15030
models-eegLib-high/Shallow,OpenBCISession_2020-02-07_10-42-36-FOUR.2-2000ep-2000ep.h5,True,0.37668161434977576,84,139,0,124,6,9,0.00032476182,0.17037699,0.12486161,0.1119541,223,223,50150,50117,45147,15062
models-eegLib-high/Shallow,OpenBCISession_2020-02-07_11-12-39-FIVE-2000ep-2000ep.h5,True,0.11210762331838565,25,198,0,1,0,197,0.0057954374,0.07719367,0.06443938,0.11263337,223,223,50111,50115,45035,15030
models-eegLib-high/Shallow,OpenBCISession_2020-02-07_12-09-54-SIX-2000ep-2000ep.h5,True,0.21171171171171171,47,175,116,0,49,10,0.26943186,0.010271381,0.26538855,0.12199378,222,221,50138,50031,45084,15040
models-eegLib-high/Shallow,OpenBCISession_2020-02-10_10-55-19=ONE.2-2000ep-2000ep.h5,True,0.24774774774774774,55,167,0,73,0,94,0.0616314,0.21336913,0.0028784522,0.21729903,222,222,50160,50140,45098,15030
models-eegLib-high/Shallow,OpenBCISession_2020-02-14_11-09-00-SEVEN-2000ep-2000ep.h5,True,0.36771300448430494,82,141,0,141,0,0,0.0540688,0.054199245,0.000572724,0.00016813427,223,221,50086,50114,45048,15027
models-eegLib-high/Shallow,OpenBCISession_2020-02-14_11-43-46-EIGHT-2000ep-2000ep.h5,True,0.28125,63,161,66,0,95,0,0.32749268,0.00019050423,0.32750437,1.1648343e-06,224,224,50140,50150,45208,15030
models-eegLib-high/Shallow,OpenBCISession_2020-02-23_16-49-310-VIR-2000ep-2000ep.h5,True,0.32286995515695066,72,151,0,3,139,9,0.025416085,0.09842751,0.18270342,0.13820392,223,223,50077,50143,45042,15031
models-eegLib-high/Shallow,OpenBCISession_2020-02-23_18-14-52-ISH-2000ep-2000ep.h5,True,0.33482142857142855,75,149,0,1,148,0,0.0012363122,0.050374564,0.050676312,0.0006000765,224,221,50149,50129,45137,15029
models-eegLib-high/Shallow,OpenBCISession_2020-02-29_17-19-28-ELI-2000ep-2000ep.h5,True,0.18385650224215247,41,182,176,0,0,6,0.17436963,7.322419e-07,9.269346e-06,0.17436321,223,8,50091,50144,45121,15031
models-eegLib-high/Shallow,OpenBCISession_2020-02-29_17-51-57-BAHAR-2000ep-2000ep.h5,True,0.30180180180180183,67,155,40,18,95,2,0.24582748,0.19784214,0.3174468,0.08425315,222,222,50125,50154,45095,15030
models-eegLib-high/Shallow,OpenBCISession_2020-03-06_10-28-17-LUKE-2000ep-2000ep.h5,True,0.11261261261261261,25,197,0,0,0,197,0.053878415,0.014237158,0.03212407,0.07758353,222,221,50024,50136,45087,15030
models-eegLib-high/EEGNet,OpenBCISession_2020-02-06_11-26-48-TWO-2000ep.h5,True,0.19369369369369369,43,179,179,0,0,0,0.124255724,0.046594925,0.08217193,0.046594925,222,3,50174,50139,45091,15088
models-eegLib-high/EEGNet,OpenBCISession_2020-02-06_12-08-05-THREE-2000ep.h5,True,0.17937219730941703,40,183,165,9,1,8,0.16841263,0.094422564,0.075392984,0.11230452,223,223,50141,50139,45149,15030
models-eegLib-high/EEGNet,OpenBCISession_2020-02-07_10-42-36-FOUR.2-2000ep.h5,True,0.18834080717488788,42,181,177,4,0,0,0.13380933,0.13138767,0.07415376,0.0067314547,223,223,50150,50117,45147,15062
models-eegLib-high/EEGNet,OpenBCISession_2020-02-07_11-12-39-FIVE-2000ep.h5,True,0.20179372197309417,45,178,111,17,19,31,0.1652104,0.07370183,0.086407796,0.08867957,223,216,50111,50115,45035,15030
models-eegLib-high/EEGNet,OpenBCISession_2020-02-07_12-09-54-SIX-2000ep.h5,True,0.26576576576576577,59,163,21,61,24,57,0.10863511,0.14453585,0.097028285,0.15806049,222,217,50138,50031,45084,15040
